species,description,image
aldfly,"Small flycatcher, extremely similar to several other species. Prefers clearings and boggy areas, often with patches of alders. Grayish-olive above and pale below with thin white eyering. Wings dark with bold white wingbars. Nearly identical to Willow Flycatcher; once considered the same species. Also compare with Least Flycatcher, which is very similar but has slightly shorter wingtips and a bolder eyering. Best identified by voice: song is a rolling, rough ",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/160820341/900
ameavo,"Distinctive large shorebird with a long, thin upturned bill and lean neck. Bold black-and-white wings prominent year-round. Adults in summer have buffy-orange wash on head. Frequents wetlands where it swings its head back-and-forth in shallow water to catch small invertebrates.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/64807071/900
amebit,"Stocky, brown heron found in marshes and bogs; secretive but occasionally found in the open. Most similar to juvenile night-herons. Note striped neck, plain unspotted wings, and behavior: American Bittern does not typically perch on branches. Varied diet includes fish, frogs, insects, and small mammals. Most active around dawn and dusk flying low over extensive marshes. Listen for its incredible vocalization: a resonant, booming noise produced by air sacs on the neck, ",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/37758621/900
amecro,"Entirely black. Large, long-legged, thick-necked bird with heavy, straight bill. In flight, wings are fairly broad and rounded with wingtip feathers spread like fingers. Short tail, squared off at the end. Very social, sometimes forming noisy flocks in the thousands. Aggressive, often chase away hawks and owls. Common in fields, woods, and cities. Thrives around people.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/59858041/900
amegfi,"Small finch. Sharply pointed bill is pink in summer, grayish-brown in winter. Small head, long wings, and short, notched tail. Adult males in spring and summer are bright yellow with black forehead and wings. Females are dull yellow below and olive above with two distinct wingbars. In winter, they are drab, buffy-brown. Active and acrobatic. Sometimes in large numbers at feeders or on ground below. Found in weedy fields, cultivated areas, roadsides, orchards, and backyards.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/124706471/900
amekes,"Petite falcon roughly the same size as Mourning Dove, but with a larger head and wider tail. In flight, note long, narrow wings and square-tipped tail. Often seen perched on telephone wires, along roadsides, in open country with short vegetation and few trees. From a perch or hovering, they usually drop to the ground to snatch small mammals and insects. Nests in cavities. Widespread across the Americas. 

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/70583881/900
amepip,"Slender and drab songbird of open country. Usually grayish above and streaked below, but some lack streaks in breeding season. Distinguished from similar-looking (unrelated) sparrows by thin bill and lanky appearance with long legs. Walks on the ground with jerky motions and frequently bobs tail. Flocks are often heard as they pass overhead or flush from a barren field. Look for flashing white outer tail feathers in flight.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/67453361/900
amered,"Adult males are black with bright orange wings, tail, and sides. Much smaller and more active than other black-and-orange birds like orioles. Females and immature males have gray head, olive back, and yellow patches instead of orange. This warbler forages in trees and bushes, habitually flicking its tail and wings to scare up insects. Breeds in deciduous forests (mature and secondary growth). Winters in Central and South America.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/64514531/900
amerob,"Fairly large songbird with round body, long legs, and longish tail. Gray above with warm orange underparts and blackish head. Hops across lawns and stands erect with its bill often tilted upward. In fall and winter, forms large flocks and gathers in trees to roost or eat berries. Common across North America in gardens, parks, yards, golf courses, fields, pastures, and many other wooded habitats. 

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/60412911/900
amewig,"Longer-tailed than Mallard with thinner, pale blue bill. Breeding males have prominent white blaze on forehead and broad green slash behind eye. Look for orangey sides on females. As comfortable grazing on land as dabbling in water. Often steals food from diving ducks as they surface.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/60017891/900
amewoo,"Plump, camouflaged shorebird that favors wooded or shrubby areas often next to fields. Rarely seen well in daytime. Generally gray above with darker stripes running down back, pale-orange belly, and dark markings on head. Exceptionally long bill, ideal for pulling up worms. Well-known for elaborate courtship display performed at dawn and dusk in spring.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/64829511/900
amtspa,"Hardy northern sparrow with plump body, small bill and long, thin tail. Note rusty cap and rusty (not black) eyeline, gray head and unstreaked grayish breast with dark smudge in center. Small flocks hop on ground, foraging for seeds, giving a soft, musical twitter. In winter, look for them in weedy fields with shrubs, forest edges, and marshes. Readily visit backyards. Rarely seen south of northern Canada in summer.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/64971291/900
annhum,"Relatively large-headed and chunky. Gray and green overall, lacking rufous, buff, or orange. Males have shocking magenta head, which appears dark when not catching the light. Found in fairly open areas, including woodlands, desert scrub, and chaparral. The only hummingbird that regularly winters in northern California, Oregon, and Washington. Listen for male's scratchy, metallic song, given when perched.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/66120941/900
astfly,"Fairly large flycatcher, larger than a phoebe but smaller than a robin. Generally found in arid habitats with tall shrubs. Note the rather long, slender shape and often peaked crown. Plumage looks washed out; whitish throat, very pale yellow belly, and dull brown on top. Also look for rufous in the tail and wings. Distinguish from similar Great Crested Flycatcher by range, drab plumage, and voice.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/65682561/900
baisan,"Long-winged, long-distance migrant similar to White-rumped Sandpiper but with warmer buffy-tan plumage. Elongated body gives a horizontal impression when foraging; unique flattened oval shape when seen head-on. Black bill and brown rump. Breeding adults rather pale with large black spots on back. Crisp juveniles show neat scaly pattern on wings and back and have a warm buffy face and neck. Often with flocks of other small shorebirds, but prefers drier habitats, such as the grassy edge of a mudflat, seaweed-covered upper portion of a beach, or sod field. Breeds in the Arctic tundra; winters in South America.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/39434211/900
baleag,"Majestic adults have blackish-brown body with white head and tail. Several stages of immature plumages aren't quite as majestic, from fully dark brown to messy and mottled with large patches of white. Look especially for white mottling on the belly on immatures. Scavenges and hunts near bodies of water. Soars with wings flat, like a large, dark plank. Head appears large in flight; projects far in front of wings. Surprisingly weak-sounding vocalization is a series of high-pitched whistles.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/60329071/900
balori,"Males are stunning, orange with black head. Females vary from yellowish to bright orange below with grayish head. Blue-gray bill is sharply pointed. Often found high in deciduous trees in open woodlands, forest edges, orchards, riversides, parks, and backyards. Rich, whistling song, echoes from treetops. Phrases vary, but rich quality of whistled notes is always the same. Visits feeders with nectar and fruits. Sometimes hybridizes with Bullock's Oriole.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/171534931/900
banswa,"Small, compact swallow that is brown above and white below. Note white throat, sharply contrasting brown chest band, notched tail and more angular, pointy wings. Colonial nester; builds nest by tunneling into sandbank. Forages for insects over fields, marshes, and ponds.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/68123441/900
barswa,"Recognizable even at a distance by its extremely long forked tail and dark rump. Spends a lot of time in flight, zipping over fields and ponds in search of insects. Appears dark above (iridescent navy blue in good light) and lighter below; belly color varies considerably across its extremely wide distribution, ranging from white to orange. Typically nests near people, in barns or under docks and other structures.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/68123101/900
